Ort;Plz;Bundesland;lat;lng;km
Albersdorf;7646;Thüringen;50,8562787;11,7790587;322
Albersdorf;25767;Schlewig-Holstein;54,1428732;9,2724517;83
Albershausen;73095;Baden-Württemberg;48,6914289;9,5650431;541
Albersroda;6268;Sachsen-Anhalt;51,3421551;11,5812346;267
Alberstedt;6279;Sachsen-Anhalt;51,4295844;11,6107712;258
Albersweiler;76857;Rheinland-Pfalz;49,1622792;7,9587265;509
Alberthofen;57614;Rheinland-Pfalz;50,6491127;7,6931205;361
Albertinenhof;16818;Brandenburg;52,9032564;12,7248597;192
Albertinenhof;19260;Mecklenburg-Vorpommern;53,399569;10,9684023;63
Albertshofen;97320;Bayern;49,7720261;10,1520706;420
Albessen;66871;Rheinland-Pfalz;49,5698373;7,3579944;480
Albig;55234;Rheinland-Pfalz;49,702102;8,1388956;448
Albisheim;67308;Rheinland-Pfalz;49,6419417;8,1341598;454
Albrechts;98529;Thüringen;50,6147738;10,6734566;329
Albrechts;98529;Thüringen;50,6147738;10,6734566;329
Albrechtshof;17291;Brandenburg;53,3193989;13,8724781;255
Albsfelde;23909;Schlewig-Holstein;53,6982277;10,7717809;50
Albstadt;72458;Baden-Württemberg;48,2136917;9,0234631;598
Albstadt;72459;Baden-Württemberg;48,2210302;8,9403968;598
Albstadt;72461;Baden-Württemberg;48,2759019;9,0082162;591
Aldenhoven;52457;Nordrhein-Westfalen;50,8965203;6,2670273;392
Aldersbach;94501;Bayern;48,5698499;13,0693851;593
Aldingen;78554;Baden-Württemberg;48,0957378;8,6821991;614
Alerheim;86733;Bayern;48,8443071;10,6268637;525
Alesheim;91793;Bayern;49,046313;10,8637468;504
Aletshausen;86480;Bayern;48,1991265;10,3857483;596
Alf;56859;Rheinland-Pfalz;50,060184;7,1232246;437
Alfdorf;73553;Baden-Württemberg;48,8554832;9,7000235;523
Alfeld;31061;Niedersachsen;51,9830185;9,8279123;175
Alfeld;91236;Bayern;49,4289992;11,5440384;470
Alfhausen;49594;Niedersachsen;52,5003145;7,9519306;183
Alflen;56828;Rheinland-Pfalz;50,1770095;7,0395356;428
Alfstedt;27432;Niedersachsen;53,4980712;9,1134911;62
Alfter;53347;Nordrhein-Westfalen;50,7082905;7,004626;378
Algenstedt;39638;Sachsen-Anhalt;52,5386734;11,4050865;145
Algermissen;31191;Niedersachsen;52,2601462;9,9709225;144
Algertshausen;86926;Bayern;48,0791408;11,0731173;613
